sub,amg_hipp,amg_vmpfc,amg_SnM,amgM,trial,condition
sub-189,0.922352890641837,0.8809218142624794,-0.1785432258430148,0.5610029125328986,1,CSplusUS1
sub-189,0.1316589212446746,0.6455559388562797,0.07807359950789057,-0.02177993425,2,CSminus1
sub-189,0.5384539679664988,0.6900404946375246,-0.027567589962713857,-0.05549408587499999,3,CSplus1
sub-189,0.7513071313590086,0.8469713196600663,0.08526861628577781,-0.19093003,4,CSplusUS1
sub-189,0.8240355572510589,0.681567975959523,0.47786524052122603,0.028910558749999926,5,CSminus1
sub-189,0.19284879854220088,0.2820161784913065,0.44073379480438074,-0.3388845825,6,CSplus1
sub-189,-0.41009518326938843,-0.4735174284479896,0.2343083076968069,-0.18071653837499999,7,CSplus1
sub-189,0.36489199790608884,0.3272145367909416,-0.13387202067812826,-0.324188323125,8,CSminus1
sub-189,0.21817111221865762,0.57205974211517,0.28275374445981194,0.1612024275,9,CSplusUS1
sub-189,0.6597766157253608,0.39745536552006877,0.13362338443663838,-0.24420147625,10,CSminus1
sub-189,0.5253378521258033,0.41296828847866085,0.6594166653422746,0.38481190125,11,CSplusUS1
sub-189,0.9120795052681734,0.32815160778505487,0.43707016338369997,3.663750000001964e-05,12,CSplus1
sub-189,0.08447515458500619,0.4617237268313073,0.0027777458611343217,0.12695459750000002,13,CSminus1
sub-189,0.5424394787947658,0.46186439143574887,0.09333552101540149,-0.03845134212500001,14,CSplus1
sub-189,0.6317312467255806,0.5375420806108174,-0.07599530333801197,-0.007753432500000004,15,CSminus1
sub-189,0.7094337299551283,0.26646307290031696,-0.247993319604556,0.3538905425,16,CSminus1
sub-189,0.04788697849975123,0.32708171389739055,-0.2467445654475499,-0.107200981625,17,CSplus1
sub-189,0.7263041638104686,0.7618310725960395,0.03542416442619914,-0.311836999625,18,CSplusUS1
sub-189,-0.02650475153498122,0.5066127504945593,0.3746896215389769,0.07618124750000001,19,CSminus1
sub-189,0.22171933250985507,0.2655872730339773,0.5875506067957477,0.1052479862,20,CSplus1
sub-189,0.602167212091726,0.48780990194970986,0.627485867536079,0.023006347174999997,21,CSplus1
sub-189,0.855221524104085,0.6192349220309603,-0.2550406336986753,0.004657605249999988,22,CSminus1
sub-189,0.1213607040767944,0.2377563530227103,0.06619581636122977,-0.30058556875,23,CSplus1
sub-189,0.79091333582711,0.4662372855653618,-0.4457253679903958,-0.20735375712749998,24,CSplusUS1
sub-189,0.704574406492039,0.7158527574671216,-0.40747667272764915,0.08581071875000001,25,CSminus1
sub-189,0.7832401794208609,0.3899133706905856,-0.9210732326561781,-0.09852805624999998,26,CSplus1
sub-189,0.9000174463869394,0.1463714137693241,0.4839297591901172,0.110929032375,27,CSminus1
sub-189,0.807944691300007,0.5638888700347184,0.656400329915312,-0.168422913375,28,CSplus1
sub-189,0.8772352655879514,0.7609205693247486,0.6492273267517296,-0.15515414375,29,CSplus1
sub-189,0.4410318824843818,0.5592712100630214,-0.014312197132164847,0.29423343124999995,30,CSminus1
sub-189,0.5323082462734582,0.7472804460322451,0.8568979936202941,0.02946124562500002,31,CSminusUS2
sub-189,0.944252246836434,0.4142765838351636,0.42329518716935605,0.5174075674999999,32,CSplus2
sub-189,0.8243274649659275,0.7992207560598928,0.09295085805570341,0.24864126192499997,33,CSminus2
sub-189,0.9362927899958645,0.3605536871077732,0.7556434659443374,0.2556852355,34,CSminusUS2
sub-189,-0.1347731261314597,0.6011979986586574,-0.01073542648623517,-0.10247228375,35,CSplus2
sub-189,0.6016304777001944,0.4870056350777334,-0.23826454928847868,0.311426295,36,CSminus2
sub-189,0.1239755591857129,0.35987215531536126,0.15392132721784788,-0.038454254250000014,37,CSplus2
sub-189,0.41019000188670063,0.530491774089877,0.3514195012604449,-0.13220323,38,CSminus2
sub-189,0.4047681344158771,0.3989439709567244,0.18739684483733943,-0.4549512255,39,CSminus2
sub-189,0.16874483986091016,0.08562840512361658,0.0642367765616644,-0.19031755425,40,CSplus2
sub-189,0.7673905909055097,0.01905996148505276,0.2843820503542135,0.11687502475,41,CSminusUS2
sub-189,0.06395298104311765,0.8954257856986109,-0.13331850510660334,-0.034931150000000015,42,CSminus2
sub-189,0.6386433193230665,0.8258062654042098,0.31010181284440935,0.085966658,43,CSplus2
sub-189,0.8265111151471013,-0.38367716160800114,-0.21209894767387855,0.2842400750625,44,CSminusUS2
sub-189,0.9299085425880443,0.4951140092696533,-0.43726505072218624,0.0932817575,45,CSminus2
sub-189,-0.00967500613230568,0.660502674609672,0.3996070474756617,-0.32309251325,46,CSplus2
sub-189,0.1313418337343285,0.42453065769007486,-0.33899069761510336,-0.21634073899999998,47,CSplus2
sub-189,0.5995617529015551,0.7394933585835929,0.37278184194116587,0.17179550600000001,48,CSminus2
sub-189,0.8881309171890199,0.9114886978199539,0.004910700276061081,-0.279937111875,49,CSplus2
sub-189,0.9739038210412203,0.9135581781127028,0.6589519855470364,0.4979275582875,50,CSminusUS2
sub-189,0.9122889904431446,0.729871831339054,-0.036822345044878815,-0.0663403945,51,CSminus2
sub-189,0.7461885088497492,0.6334038616158278,-0.5415406588927162,0.018676354124999996,52,CSplus2
sub-189,0.7826234863990088,0.259657096657108,0.3837660368475354,0.0436475375,53,CSminus2
sub-189,0.8033731041572424,0.6909844001163538,0.43505054490956335,-0.29223182462499997,54,CSminus2
sub-189,0.6283210481275888,0.9234625424745599,0.6571589229458794,-0.11867406549999998,55,CSplus2
sub-189,0.8193978288799532,-0.2593647974598665,-0.1725448534271892,0.22616246950000002,56,CSminusUS2
sub-189,0.050118097550090564,0.4781607395125389,-0.674906359078204,-0.29025403,57,CSplus2
sub-189,0.5736279043334642,0.5430160602988826,0.4224510895218924,0.06630749187499999,58,CSminus2
sub-189,-0.06901693872844009,0.46259503039691474,0.17110261010052408,-0.12960636874999998,59,CSplus2
sub-189,0.7920514178758676,0.6356972894733043,0.4601664980732798,-0.18859261375,60,CSminus2
sub-189,0.8836597294021271,0.5940366606335561,-0.10026879294389751,-0.028042223250000026,61,CSminusUS2
