sub,Condition,Event.Nr,CDA.AmpSum,expected_value,pe,scr
sub-189,CSminusUS2,41,3.1706,0.7730256390084645,0.5174296062261494,3.1706
sub-189,CSminus2,42,2.0508,0.7710321402145583,-0.48395717002957406,2.0508
sub-189,CSplus2,43,2.6331,0.7763964758992996,-0.48728389177406906,2.6331
sub-189,CSminusUS2,44,1.2839,0.7732843470946205,0.517271428876759,1.2839
sub-189,CSminus2,45,0.6686,0.7712890614265668,-0.48411426843448435,0.6686
sub-189,CSplus2,46,0.5959,0.7743882164428364,-0.4860404061684984,0.5959
sub-189,CSplus2,47,0.5409,0.7723895808137028,-0.4848028043863662,0.5409
sub-189,CSminus2,48,1.247,0.769303322789042,-0.48288460011528567,1.247
sub-189,CSplus2,49,0.3349,0.7704005024594458,-0.48357104624468084,0.3349
sub-189,CSminusUS2,50,0.8882,0.7715632398259038,0.5183392709860651,0.8882
sub-189,CSminus2,51,0.2199,0.7695756147326033,-0.48305112407882805,0.2199
sub-189,CSplus2,52,0.7283,0.7684209154231919,-0.4823450919158352,0.7283
sub-189,CSminus2,53,0.1017,0.7675974875011622,-0.48182612370961686,0.1017
sub-189,CSminus2,54,1.5529,0.7656287925683528,-0.48060689099979764,1.5529
sub-189,CSplus2,55,0.8162,0.76645075433717,-0.4811249019237892,0.8162
sub-189,CSminusUS2,56,0.7449,0.7679056395733456,0.5206066132887947,0.7449
sub-189,CSplus2,57,0.0526,0.7644899544163769,-0.4799104371403074,0.0526
sub-189,CSminus2,58,1.2149,0.7659348316964343,-0.48079408038101135,1.2149
sub-189,CSplus2,59,0.3109,0.7625384514522741,-0.4787016587812582,0.3109
sub-189,CSminus2,60,1.2648,0.7639734099041661,-0.47957931099152973,1.2648
sub-189,CSminusUS2,61,1.169,0.7662574842137521,0.5216297577871527,1.169
sub-189,CSplus2,62,0.0113,0.7605961818065875,-0.4774985284029258,0.0113
sub-189,CSplus2,63,0.0,0.7586630824051704,-0.47630100789840424,0.0
sub-189,CSminus2,64,1.4599,0.7642938581798522,-0.4797753438067219,1.4599
sub-189,CSminus2,65,1.5947,0.7623395731395911,-0.4785649549778401,1.5947
sub-189,CSplus2,66,0.8124,0.7567390907319504,-0.47510905949400567,0.8124
sub-189,CSminus2,67,1.6624,0.7603945648609286,-0.4773602396164846,1.6624
sub-189,CSplus2,68,0.0118,0.7548241448229386,-0.473922645745733,0.0118
sub-189,CSminus2,69,1.4075,0.7584587696842647,-0.47616115927314634,1.4075
sub-205,CSplusUS1,1,3.395,0.6285017924508356,0.5,3.395
sub-205,CSminus1,2,1.5046,0.4239067680425174,-0.5,1.5046
sub-205,CSplus1,3,1.4405,0.5029060019944681,-0.5924972989385716,1.4405
sub-205,CSplusUS1,4,2.771,0.6113430932814989,0.520234761440937,2.771
sub-205,CSminus1,5,0.3731,0.3449075340905677,-0.40750270106142633,0.3731
sub-205,CSplus1,6,0.7925,0.4900311906373493,-0.5774087450747346,0.7925
sub-205,CSplus1,7,1.1198,0.3969398214012207,-0.4683175760706001,1.1198
sub-205,CSminus1,8,0.3802,0.2830669993079511,-0.3352401635637958,0.3802
sub-205,CSplusUS1,9,2.5243,0.5290588272491408,0.6163956911188788,2.5243
sub-205,CSminus1,10,0.2525,0.23410127588245946,-0.2780661799299961,0.2525
sub-205,CSplusUS1,11,2.9055,0.6299458947854224,0.49807570332759704,2.9055
sub-205,CSplus1,12,0.5376,0.5035575078819955,-0.5933729519590781,0.5376
sub-205,CSminus1,13,0.13,0.19494379992892694,-0.23233985878466237,0.13
sub-205,CSplus1,14,0.3598,0.40695000885565474,-0.4800562106633797,0.3598
sub-205,CSminus1,15,0.0324,0.16335524386801958,-0.19542337595579454,0.0324
sub-205,CSminus1,16,0.0619,0.13767303716990031,-0.16536969540700217,0.0619
sub-205,CSplus1,17,0.1381,0.3319828123644953,-0.39237976157187116,0.1381
sub-205,CSplusUS1,18,2.9153,0.4776680130647993,0.6764173513375227,2.9153
sub-205,CSminus1,19,0.0,0.11664521604875387,-0.14071907738507491,0.0
sub-205,CSplus1,20,0.0365,0.3842777655946935,-0.45395340404666196,0.0365
sub-205,CSplus1,21,0.7666,0.3124386123632849,-0.36966839510871424,0.7666
sub-205,CSminus1,22,0.0,0.09931735305430858,-0.12036234746721741,0.0
sub-205,CSplus1,23,0.2764,0.25634909598749817,-0.30402822324672907,0.2764
sub-205,CSplusUS1,24,2.9608,0.4166098445308662,0.7478010490306634,2.9608
sub-205,CSminus1,25,0.0,0.08495393474446421,-0.10344677896467763,0.0
sub-205,CSplus1,26,0.1893,0.3346002011153567,-0.3957955545282306,0.1893
sub-205,CSminus1,27,0.0,0.07298267085021946,-0.08930997705099854,0.0
sub-205,CSplus1,28,0.0,0.2717348689186496,-0.32192992782603497,0.0
sub-205,CSplus1,29,0.0571,0.22278355568293692,-0.2645757100051229,0.0571
sub-205,CSminus1,30,0.0,0.06295440614739257,-0.07743261169288043,0.0
sub-205,CSminusUS2,31,4.0771,0.2591088773320677,0.9325958957588842,4.0771
